turno;nacionalidade;uf;codigo;nome;cargo;totalVotos;numeroCandidatoMaisVotado;totalVotosCandidatoMaisVotado;% do total de votos;Faixa;Candidato;Cor
1;Brasil;ma;7420;CENTRAL DO MARANHÃO;presidente;4306;13;3697;85,86%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;36838;LAMARÃO;presidente;4883;13;4192;85,85%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;29556;CIUDAD DEL ESTE;presidente;2364;17;2027;85,74%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ma;7013;AFONSO CUNHA;presidente;4610;13;3951;85,70%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10081;BONFIM DO PIAUÍ;presidente;3574;13;3060;85,62%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12602;RIBEIRA DO PIAUÍ;presidente;2575;13;2203;85,55%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10340;LAGOA DO BARRO DO PIAUÍ;presidente;3177;13;2710;85,30%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37583;NOVA REDENÇÃO;presidente;4195;13;3573;85,17%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23000;QUIXABA;presidente;4369;13;3715;85,03%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37311;MONTE SANTO;presidente;27757;13;23597;85,01%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12289;PAVUSSU;presidente;2619;13;2226;84,99%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10979;ISAÍAS COELHO;presidente;4368;13;3711;84,96%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10960;NOVA SANTA RITA;presidente;2836;13;2404;84,77%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;36080;ITAGUAÇU DA BAHIA;presidente;6889;13;5838;84,74%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34355;CANSANÇÃO;presidente;18358;13;15557;84,74%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10243;CORONEL JOSÉ DIAS;presidente;3629;13;3072;84,65%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23353;BETÂNIA;presidente;6169;13;5214;84,52%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8346;SÃO JOÃO DO SOTER;presidente;8703;13;7349;84,44%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23671;CALUMBI;presidente;4370;13;3689;84,42%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34398;CARDEAL DA SILVA;presidente;4678;13;3949;84,42%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34177;CAMPO ALEGRE DE LOURDES;presidente;14428;13;12172;84,36%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;24392;INAJÁ;presidente;9408;13;7929;84,28%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10502;SÃO BRAZ DO PIAUÍ;presidente;2889;13;2434;84,25%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12700;SÃO MIGUEL DO FIDALGO;presidente;1904;13;1602;84,14%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;am;2976;BOA VISTA DO RAMOS;presidente;7749;13;6516;84,09%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;33251;ANDARAÍ;presidente;6672;13;5605;84,01%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;83615;TREZE DE MAIO;presidente;5029;17;4219;83,89%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;33332;ANTÔNIO CARDOSO;presidente;8638;13;7241;83,83%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12360;COCAL DE TELHA;presidente;3060;13;2565;83,82%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;35270;GLÓRIA;presidente;9227;13;7733;83,81%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;al;28150;OLHO D'ÁGUA DO CASADO;presidente;4718;13;3953;83,79%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;39896;SÃO GABRIEL;presidente;11627;13;9725;83,64%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;9059;SÃO BENEDITO DO RIO PRETO;presidente;10493;13;8763;83,51%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7471;CAJARI;presidente;10151;13;8471;83,45%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10880;MORRO CABEÇA NO TEMPO;presidente;2424;13;2022;83,42%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10685;DOM INOCÊNCIO;presidente;5189;13;4327;83,39%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12556;VERA MENDES;presidente;2329;13;1942;83,38%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37850;PEDRO ALEXANDRE;presidente;6419;13;5349;83,33%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37893;PILÃO ARCADO;presidente;18234;13;15182;83,26%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8834;PRESIDENTE VARGAS;presidente;6799;13;5659;83,23%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;39152;SOUTO SOARES;presidente;9690;13;8058;83,16%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8630;PENALVA;presidente;15792;13;13119;83,07%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8516;PALMEIRÂNDIA;presidente;10450;13;8678;83,04%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10413;CAMPINAS DO PIAUÍ;presidente;3691;13;3064;83,01%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;9172;SÃO JOÃO BATISTA;presidente;13292;13;11032;83,00%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;9458;URBANO SANTOS;presidente;16119;13;13356;82,86%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7455;CAJAPIÓ;presidente;5954;13;4931;82,82%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10588;VÁRZEA BRANCA;presidente;3221;13;2666;82,77%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;rs;87220;NOVA PÁDUA;presidente;1919;17;1588;82,75%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;pe;23639;CAETÉS;presidente;12103;13;10013;82,73%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;33715;BIRITINGA;presidente;9107;13;7534;82,73%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;30651;CANTÃO;presidente;81;17;67;82,72%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ma;7820;LAGOA DO MATO;presidente;5564;13;4598;82,64%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8141;PRESIDENTE SARNEY;presidente;9652;13;7976;82,64%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37699;PALMAS DE MONTE ALTO;presidente;11967;13;9888;82,63%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12297;DIRCEU ARCOVERDE;presidente;4310;13;3561;82,62%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;11371;NOVO ORIENTE DO PIAUÍ;presidente;3715;13;3066;82,53%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37834;PEDRÃO;presidente;4178;13;3448;82,53%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8362;SÃO JOSÉ DOS BASÍLIOS;presidente;4224;13;3485;82,50%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12025;SÃO JOÃO DA VARJOTA;presidente;2840;13;2343;82,50%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;11339;NAZARÉ DO PIAUÍ;presidente;4498;13;3709;82,46%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;38539;SANTA BRÍGIDA;presidente;7980;13;6580;82,46%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;36811;LAJEDINHO;presidente;2278;13;1877;82,40%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23248;MANARI;presidente;8374;13;6899;82,39%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10626;BELA VISTA DO PIAUÍ;presidente;2734;13;2248;82,22%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7757;DUQUE BACELAR;presidente;6579;13;5407;82,19%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;30716;AMÉRICA DOURADA;presidente;8622;13;7075;82,06%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;35017;DOM BASÍLIO;presidente;7189;13;5899;82,06%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;39276;TEODORO SAMPAIO;presidente;4573;13;3749;81,98%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8559;PARNARAMA;presidente;16338;13;13382;81,91%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;26034;TERRA NOVA;presidente;6052;13;4956;81,89%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;38130;PRESIDENTE DUTRA;presidente;8383;13;6860;81,83%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7226;CACHOEIRA GRANDE;presidente;5170;13;4229;81,80%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7412;BURITI;presidente;13895;13;11357;81,73%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8249;SANTO AMARO DO MARANHÃO;presidente;7056;13;5766;81,72%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8060;PEDRO DO ROSÁRIO;presidente;11343;13;9268;81,71%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7960;MILAGRES DO MARANHÃO;presidente;3781;13;3089;81,70%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;33782;BOM JESUS DA SERRA;presidente;5642;13;4609;81,69%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;9156;SÃO FRANCISCO DO MARANHÃO;presidente;6082;13;4968;81,68%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;30953;GUAJERU;presidente;4237;13;3460;81,66%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37630;OLINDINA;presidente;12527;13;10211;81,51%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;24473;ITACURUBA;presidente;3056;13;2490;81,48%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pr;79790;NOVA SANTA ROSA;presidente;5503;17;4483;81,46%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ma;8850;PRIMEIRA CRUZ;presidente;6873;13;5595;81,41%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34916;CRISÓPOLIS;presidente;10479;13;8526;81,36%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34509;CATURAMA;presidente;4850;13;3944;81,32%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;80330;ASCURRA;presidente;4807;17;3909;81,32%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;37753;PARATINGA;presidente;15821;13;12858;81,27%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37427;MULUNGU DO MORRO;presidente;7276;13;5906;81,17%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8052;SÃO LUÍS GONZAGA DO MARANHÃO;presidente;11668;13;9460;81,08%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34096;CALDEIRÃO GRANDE;presidente;6648;13;5388;81,05%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;39772;MANSIDÃO;presidente;5823;13;4715;80,97%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;80519;BOTUVERÁ;presidente;3476;17;2813;80,93%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;pi;12580;CURRALINHOS;presidente;3376;13;2732;80,92%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;25070;PARNAMIRIM;presidente;12999;13;10519;80,92%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23779;CARNAÍBA;presidente;10084;13;8160;80,92%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8818;PRESIDENTE JUSCELINO;presidente;6617;13;5353;80,90%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;am;2631;NHAMUNDÁ;presidente;9243;13;7476;80,88%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10944;PAQUETÁ;presidente;2966;13;2398;80,85%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12327;ACAUÃ;presidente;4691;13;3792;80,84%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7943;MATÕES DO NORTE;presidente;4567;13;3690;80,80%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;83372;SÃO MARTINHO;presidente;2678;17;2163;80,77%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;37710;PALMEIRAS;presidente;4860;13;3924;80,74%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12343;CAJAZEIRAS DO PIAUÍ;presidente;2398;13;1936;80,73%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;24112;FLORES;presidente;10915;13;8808;80,70%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;am;2135;BENJAMIN CONSTANT;presidente;15253;13;12306;80,68%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10421;QUEIMADA NOVA;presidente;5077;13;4096;80,68%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;30112;MIAMI;presidente;11892;17;9590;80,64%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;36765;LAGOA REAL;presidente;7142;13;5759;80,64%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23930;CORRENTES;presidente;8442;13;6800;80,55%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pb;19569;SANTA INÊS;presidente;2412;13;1942;80,51%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10324;LAGOA ALEGRE;presidente;5930;13;4774;80,51%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7447;CENTRO DO GUILHERME;presidente;5192;13;4178;80,47%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7250;BACURI;presidente;8903;13;7164;80,47%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;36315;ITAPICURU;presidente;14452;13;11627;80,45%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37990;PLANALTINO;presidente;4422;13;3557;80,44%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;33537;BARRA;presidente;24136;13;19411;80,42%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;11517;PARNAGUÁ;presidente;5174;13;4161;80,42%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;36579;JAGUARIPE;presidente;9310;13;7485;80,40%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7684;IGARAPÉ DO MEIO;presidente;7915;13;6362;80,38%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7994;ICATU;presidente;14310;13;11499;80,36%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;39071;SERRA PRETA;presidente;11845;13;9514;80,32%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;33596;BARRA DO MENDES;presidente;8080;13;6488;80,30%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pb;19445;SÃO JOSÉ DE PRINCESA;presidente;2252;13;1808;80,28%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8087;PERITORÓ;presidente;11156;13;8955;80,27%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;82937;RIO FORTUNA;presidente;3688;17;2960;80,26%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;sc;81086;MORRO GRANDE;presidente;2411;17;1935;80,26%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;30856;CANUDOS;presidente;8589;13;6890;80,22%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8656;PERI MIRIM;presidente;7359;13;5903;80,21%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;al;27022;PARICONHA;presidente;6114;13;4901;80,16%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10286;JACOBINA DO PIAUÍ;presidente;3775;13;3026;80,16%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;36196;ITANAGRA;presidente;3877;13;3107;80,14%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8990;SANTA QUITÉRIA DO MARANHÃO;presidente;13678;13;10961;80,14%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10227;COLÔNIA DO PIAUÍ;presidente;4448;13;3563;80,10%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;25798;SERRITA;presidente;10527;13;8432;80,10%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12300;RIACHO FRIO;presidente;2938;13;2352;80,05%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;39179;TABOCAS DO BREJO VELHO;presidente;6702;13;5364;80,04%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34878;COTEGIPE;presidente;7775;13;6220;80,00%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;29718;GEORGETOWN;presidente;80;17;64;80,00%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;37591;NOVA SOURE;presidente;13339;13;10666;79,96%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;11690;PORTO;presidente;5950;13;4757;79,95%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10170;AROAZES;presidente;4003;13;3199;79,92%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;38970;SEABRA;presidente;23962;13;19149;79,91%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;30414;RAMALLAH-PALE;presidente;602;13;481;79,90%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10766;CURRAIS;presidente;3732;13;2981;79,88%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10847;JUREMA;presidente;3483;13;2782;79,87%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;80055;AGRONÔMICA;presidente;3380;17;2699;79,85%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Exterior;zz;29416;BOSTON;presidente;13372;17;10667;79,77%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;39799;NORDESTINA;presidente;6332;13;5050;79,75%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;38474;SALINAS DA MARGARIDA;presidente;8762;13;6984;79,71%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12122;BETÂNIA DO PIAUÍ;presidente;3974;13;3167;79,69%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;7102;ARAGUANÃ;presidente;5163;13;4114;79,68%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;83216;SÃO JOÃO BATISTA;presidente;16308;17;12994;79,68%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;38598;SANTA INÊS;presidente;5366;13;4274;79,65%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;11711;PRATA DO PIAUÍ;presidente;2388;13;1902;79,65%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;33731;BOA NOVA;presidente;7390;13;5886;79,65%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;38679;SANTANÓPOLIS;presidente;5771;13;4594;79,60%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12203;JÚLIO BORGES;presidente;3210;13;2555;79,60%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;11754;REGENERAÇÃO;presidente;9817;13;7812;79,58%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;9270;SÃO VICENTE FERRER;presidente;9825;13;7817;79,56%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23043;SANTA CRUZ DA BAIXA VERDE;presidente;6311;13;5021;79,56%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;24317;IBIMIRIM;presidente;13354;13;10624;79,56%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37176;MARCIONÍLIO SOUZA;presidente;4953;13;3940;79,55%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23558;BUÍQUE;presidente;23327;13;18553;79,53%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;11797;RIO GRANDE DO PIAUÍ;presidente;3732;13;2968;79,53%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;25950;TACARATU;presidente;11343;13;9020;79,52%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8435;NINA RODRIGUES;presidente;6252;13;4971;79,51%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8311;MATÕES;presidente;16214;13;12887;79,48%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;al;27316;CANAPI;presidente;8721;13;6931;79,47%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12335;BELÉM DO PIAUÍ;presidente;2242;13;1781;79,44%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12033;SÃO JOSÉ DO PIAUÍ;presidente;4167;13;3309;79,41%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;mg;41009;LUISLÂNDIA;presidente;3997;13;3174;79,41%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8176;LAGO VERDE;presidente;8063;13;6402;79,40%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12084;ALVORADA DO GURGUÉIA;presidente;2906;13;2304;79,28%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;9415;TURIAÇU;presidente;18234;13;14451;79,25%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12408;JOCA MARQUES;presidente;3347;13;2652;79,24%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;al;27014;ÁGUA BRANCA;presidente;10215;13;8092;79,22%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;am;98515;TONANTINS;presidente;6604;13;5229;79,18%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34835;CORONEL JOÃO SÁ;presidente;9281;13;7348;79,17%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;38156;PRESIDENTE JÂNIO QUADROS;presidente;6427;13;5088;79,17%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12440;MADEIRO;presidente;4384;13;3469;79,13%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12165;CARIDADE DO PIAUÍ;presidente;3531;13;2793;79,10%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;sc;83577;TIMBÓ;presidente;25250;17;19968;79,08%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ma;8338;MIRADOR;presidente;10313;13;8155;79,07%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;25879;SOLIDÃO;presidente;3710;13;2933;79,06%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12467;MASSAPÊ DO PIAUÍ;presidente;3883;13;3069;79,04%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;30473;STA C LA SIERRA-BOLI;presidente;1223;17;966;78,99%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
